no of Examples, current Step Error
100,0.535074312291513
200,0.4844945724389017
300,0.4611999216445426
400,0.41217620229224544
500,0.3556171332430115
600,0.325730991475841
700,0.28962921927938035
800,0.22883942710616534
900,0.19970291122325823
1000,0.21575258653668863
1100,0.2454709951422899
1200,0.18933077185900413
1300,0.22606390049200603
1400,0.179572818438849
1500,0.16663589790619368
1600,0.15330170087044467
1700,0.14826561253129314
1800,0.10128447234308657
1900,0.13944309710413605
2000,0.13322611888640673
2100,0.1441175368972255
2200,0.10455756617320602
2300,0.10512656216085992
2400,0.12531591454547023
2500,0.15189747139427803
2600,0.07276470246058973
