no of Examples, current Step Error
100,0.539529066
200,0.483865403
300,0.458967926
400,0.411609134
500,0.357739762
600,0.328034013
700,0.29612139
800,0.238060099
900,0.198529593
1000,0.214034835
1100,0.243661957
1200,0.193130479
1300,0.226891296
1400,0.176419604
1500,0.17069824
1600,0.15545909
1700,0.147996666
1800,0.099235396
1900,0.151888237
2000,0.139284322
2100,0.143637808
2200,0.097875499
2300,0.112284824
2400,0.119383898
2500,0.155197925
2600,0.06939045
2700,0.105686005
2800,0.15784846
2900,0.103762472
3000,0.123318713
3100,0.116534733
3200,0.084546661
3300,0.107309305
3400,0.10413504
3500,0.064551803
3600,0.11916475
3700,0.107873989
3800,0.114376438
3900,0.076275986
4000,0.078667876
4100,0.093555332
4200,0.103835094
4300,0.102524075
4400,0.07841579
4500,0.086725861
4600,0.069456902
4700,0.132306777
4800,0.085234838
4900,0.075179396
5000,0.094320202
5100,0.078923829
5200,0.124446285
5300,0.070210207
5400,0.090133913
5500,0.076770068
5600,0.072797328
5700,0.09705784
5800,0.098323054
5900,0.098230861
6000,0.071783871
6100,0.052452984
6200,0.043822148
6300,0.066401217
6400,0.037634398
6500,0.088439816
6600,0.051529353
6700,0.074033581
6800,0.065866443
6900,0.142563134
7000,0.105828919
7100,0.088455413
7200,0.077709882
7300,0.142165751
7400,0.087963535
7500,0.0756653
7600,0.058280416
7700,0.107496615
7800,0.084346397
7900,0.105847741
8000,0.090245849
8100,0.07151896
8200,0.086800636
8300,0.110520919
8400,0.053021999
8500,0.086669318
8600,0.065290315
8700,0.115074248
8800,0.153369413
8900,0.116424745
9000,0.083689889
9100,0.050053981
9200,0.076073875
9300,0.081623291
9400,0.096471709
9500,0.092711808
9600,0.064023114
9700,0.034397448
9800,0.061226276
9900,0.057815746
10000,0.043532352
10100,0.057054079
10200,0.064816637
10300,0.131014331
10400,0.049597518
10500,0.059161285
10600,0.026939063
10700,0.041585256
10800,0.08535617
10900,0.035998663
11000,0.046177847
11100,0.052639913
11200,0.043302316
11300,0.091887617
11400,0.051391237
11500,0.062726016
11600,0.105310475
11700,0.093039721
11800,0.092279488
11900,0.067911384
12000,0.048888875
12100,0.077130967
12200,0.03515837
12300,0.085897213
12400,0.081584696
12500,0.092441725
12600,0.076867006
12700,0.10365584
12800,0.084517881
12900,0.054538131
13000,0.088980898
13100,0.134441948
13200,0.086087647
13300,0.024480529
13400,0.07714147
13500,0.058365591
13600,0.063732005
13700,0.071922178
13800,0.086005
13900,0.053103101
14000,0.074296996
14100,0.093119163
14200,0.07138628
14300,0.094681881
14400,0.105179717
14500,0.034300724
14600,0.073210745
14700,0.123299215
14800,0.108773291
14900,0.064756219
15000,0.050384266
15100,0.048496668
15200,0.096571787
15300,0.0601449
15400,0.058514964
15500,0.056726019
15600,0.067336818
15700,0.031419026
15800,0.0900726
15900,0.101759154
16000,0.071537512
16100,0.091835095
16200,0.061394294
16300,0.040435493
16400,0.038448849
16500,0.067426382
16600,0.051305717
16700,0.065922599
16800,0.080303476
16900,0.043455474
17000,0.073127174
17100,0.063787643
17200,0.058126001
17300,0.077875018
17400,0.039178374
17500,0.079155097
17600,0.079885635
17700,0.055088161
17800,0.075359847
17900,0.092263281
18000,0.043145723
18100,0.054571739
18200,0.030837795
18300,0.033522505
18400,0.031199491
18500,0.052867163
18600,0.05832484
18700,0.034948622
18800,0.051490589
18900,0.049274162
19000,0.029812593
19100,0.05981018
19200,0.05755422
19300,0.06458132
19400,0.048043309
19500,0.039549871
19600,0.074948057
19700,0.017054193
19800,0.025609198
19900,0.057205082
20000,0.045401984
20100,0.059244215
20200,0.069169154
